_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
158,2019,2,İstanbul Sabahattin Zaim Üniversitesi,25,ÜMRANİYE,1
159,2020,1,İnönü Üniversitesi,21,BAĞCILAR,3
160,2020,1,Bolu Abant İzzet Baysal Üniversitesi,22,BAKIRKÖY,1
161,2020,1,Boğaziçi Üniversitesi,20,BAĞCILAR,1
162,2019,1,Fırat Üniversitesi,23,ÜMRANİYE,1
163,2020,1,Zonguldak Bülent Ecevit Üniversitesi,19,ESENYURT,5
164,2020,1,İstanbul Bilgi Üniversitesi,23,ÇEKMEKÖY,1
165,2019,1,İstanbul Üniversitesi,19,ÜMRANİYE,3
166,2020,1,İstanbul Üniversitesi,25,KAĞITHANE,4
167,2019,2,Akdeniz Üniversitesi,22,KAĞITHANE,1
168,2020,1,Fenerbahçe Üniversitesi,18,MALTEPE,1
169,2019,2,Hacettepe Üniversitesi,21,SULTANGAZİ,1
170,2019,1,Biruni Üniversitesi,20,EYÜPSULTAN,2
171,2020,1,İstanbul Teknik Üniversitesi,22,KARTAL,3
172,2020,1,Amasya Üniversitesi,20,ZEYTİNBURNU,1
173,2020,1,Dicle Üniversitesi,24,FATİH,2
174,2020,1,Yıldız Teknik Üniversitesi,21,SİLİVRİ,1
175,2019,2,Muğla Sıtkı Koçman Üniversitesi,19,ÇEKMEKÖY,1
176,2019,2,Çanakkale Onsekiz Mart Üniversitesi,23,ESENLER,3
177,2020,1,Sivas Cumhuriyet Üniversitesi,20,ESENYURT,1
178,2020,1,Çukurova Üniversitesi,21,ÇEKMEKÖY,1
179,2019,1,Ege Üniversitesi,20,GAZİOSMANPAŞA,1
180,2020,1,Samsun Üniversitesi,20,BEYLİKDÜZÜ,1
181,2020,1,İstanbul Aydın Üniversitesi,20,SULTANGAZİ,2
182,2020,1,İstanbul Üniversitesi,19,TUZLA,3
183,2019,2,Hacettepe Üniversitesi,22,SANCAKTEPE,1
184,2020,1,İstanbul Medipol Üniversitesi,19,TUZLA,1
